nation_a,nation_b,result,day,month,year,location,round,temp,home,appear,semi_finalist,runner_up,winner,prev,coach_exp,rest
india,west_indies,,27,june,2019,england,0,,,,,,,,,
south_africa,sri_lanka,,28,june,2019,england,0,,,,,,,,,
afghanistan,pakistan,,29,june,2019,england,0,,,,,,,,,
australia,new_zealand,,29,june,2019,england,0,,,,,,,,,
england,india,,30,june,2019,england,0,,,,,,,,,
sri_lanka,west_indies,,1,july,2019,england,0,,,,,,,,,
bangladesh,india,,2,july,2019,england,0,,,,,,,,,
england,new_zealand,,3,july,2019,england,0,,,,,,,,,
afghanistan,west_indies,,4,july,2019,england,0,,,,,,,,,
bangladesh,pakistan,,5,july,2019,england,0,,,,,,,,,
india,sri_lanka,,6,july,2019,england,0,,,,,,,,,
australia,south_africa,,6,july,2019,england,0,,,,,,,,,
